Produit,Source,Semrush : pays/base/volume/CPC/KD/intent/variations,Prix fournisseur livré si disponible,Prix de vente probable,Marge estimée,Shopping Score,Search Score,Business Score,Score total,Canal recommandé,Concurrents DTC comparables,Concurrents marketplaces / grandes enseignes repères,Angle marketing,Thèse de différenciation,Problème résolu,Désir ou univers adressé,Valeur ajoutée possible,Raison pour laquelle ce n'est pas juste une copie,Google Trends : pays/période/indice moyen/tendance/saisonnalité,Google Shopping / SERP,Fournisseurs,Risques,Condition de GO,Verdict,Prix fournisseur AliExpress,Prix livré AliExpress,Fournisseur AliExpress identifié,URL fournisseur AliExpress,Commandes AliExpress,Note produit AliExpress,Notation vendeur AliExpress,Délai livraison AliExpress,Expédié depuis Europe,Statut vérification AliExpress
Table console extensible,Semrush Kloow France + Google Trends + benchmark SERP/concurrents,FR ; volume 9.9K ; CPC 0.29 EUR ; KD 31 ; intent info/transactionnel ; variations 34.8K ; Ads 3,Non confirmé livré ; Alibaba observé env. 100-150 EUR hors livraison/MOQ,499-799 EUR TTC,45-60% cible si landed cost <320 EUR,8,8,8.5,84,Both,Mobili Fiver ; La Table Console ; La Maison Convertible ; Chez Soi Design ; Mobilier de France,BUT ; Conforama ; Carrefour ; Amazon comme bornes prix,Recevoir 10-12 personnes sans sacrifier son salon,"Pour les foyers en appartement qui veulent recevoir, vendre une console extensible mid-premium comme vraie table de réception gain de place, contrairement aux offres marketplace peu rassurantes et aux spécialistes très chers.",Manque de place pour une table à manger permanente,"Maison optimisée, déco pratique, hospitalité, petits espaces urbains",Simulateur dimensions/couverts ; vidéos mécanisme ; guide petit espace ; packs bancs/chaises ; garantie mécanisme ; livraison programmée,"Positionnement solution petit espace + réassurance mécanisme/livraison, pas simple listing produit","FR ; 5 ans ; indice moyen 24 ; 52 sem. récentes 21.3 vs 22.5 (-5.1%) ; pic Q4 ; requêtes associées : console extensible 14 personnes, table extensible rallonges intégrées",Requête visuelle claire ; prix très écartés entre low-cost et premium ; Shopping adapté ; Search utile pour objections dimensions/mécanisme,"Alibaba prix hors livraison/MOQ ; fournisseur France/EU à vérifier ; besoin prix livré, packaging, casse, délai",Produit volumineux ; cot transport ; casse ; retours ; MOQ ; qualité rails,"Trouver 2-3 fournisseurs avec landed cost France, packaging solide, photos/vidéos réelles, délai acceptable",GO,"214,29€","214,29€",Urban Corners Store,https://fr.aliexpress.com/item/1005009262545724.html,16,5.0,93.2% avis positifs,Livraison : 29 juin - 04 juillet,Oui,OK - fournisseur proche; extensible mais pas console pure; expedie Allemagne
Table basse relevable/extensible premium,Semrush Kloow France + Google Trends + benchmark SERP/concurrents,FR ; volume 27.1K ; CPC 0.19 EUR ; KD 32 ; intent info/transactionnel ; variations 101.4K ; Competitive Density 1.00,Non confirmé livré ; Alibaba observé env. 30-50 USD hors livraison/MOQ,279-449 EUR TTC,35-55% selon landed cost,9,7,7.5,81,Shopping,La Maison Convertible ; LG Lesmo ; Souffle Intérieur ; BO Confort ; Mobili Fiver,BUT ; Conforama ; Maisons du Monde ; Amazon ; Cdiscount,"Salon, repas et télétravail dans un seul meuble","Pour les petits salons qui servent aussi de bureau/coin repas, vendre une table basse transformable premium comme meuble de vie multifonction, contrairement aux tables relevables marketplace génériques.",Manque de surface pour manger/travailler confortablement dans un petit salon,"Gain de place, salon design, télétravail, repas canapé",Démo transformation ; preuve stabilité ; sélection finitions ; guide dimensions canapé ; photos usage réel,"Ne retenir qu'une variante transformable premium + contenu d'usage, pas une table basse relevable basique",FR ; 5 ans ; indice moyen 56 ; 52 sem. récentes 51.5 vs 52.8 (-2.5%) ; Q1/Q4 forts ; 13 sem. en baisse saisonnière ; requête associée : table basse convertible en table à manger,Forte présence Shopping ; demande massive ; marché très comparatif prix/image,Alibaba prix hors livraison/MOQ ; mécanisme et poids à valider ; backup fournisseur obligatoire,Marché très marketplace ; différenciation difficile ; qualité mécanisme ; retours volumineux,Identifier une vraie version premium/convertible avec marge et images propres,GO/MAYBE,"67,24€","67,24€",SONGMICS HOME FR Store,https://fr.aliexpress.com/item/1005008151617994.html,411,4.7,95.5% avis positifs,Livraison : 29 juin - 04 juillet,Oui,OK - livraison gratuite; expedie Allemagne
Bureau assis-debout compact premium,Semrush Kloow France + Google Trends + SERP/concurrents,FR ; volume 18.1K ; CPC 1.02 EUR ; KD 28 ; intent commercial ; variations 67.0K ; Competitive Density 1.00,Non confirmé livré ; landed cost estimatif à valider 160-260 EUR,299-499 EUR TTC,30-45% selon modèle/moteur,8,8,6.5,74,Both,Desktronic ; Flexispot ; Fezibo ; Secretlab,Amazon ; Cdiscount ; ManoMano comme repères prix,Setup télétravail sain et beau pour petit espace,"Pour les télétravailleurs en appartement, vendre un bureau assis-debout compact/design comme setup complet, contrairement aux marques généralistes centrées specs/prix.",Besoin d'alterner assis/debout et d'améliorer le confort de travail,"Télétravail, productivité, ergonomie, home office esthétique",Pack cable management ; guide taille ; bundle tapis/support écran ; comparatif bruit/stabilité ; montage rassurant,"Angle compact + setup complet + design intérieur, pas seulement un piètement électrique","FR ; 5 ans ; indice moyen 37 ; 52 sem. récentes 56.9 vs 48.1 (+18.3%) ; tendance haussière ; requêtes associées : Fezibo, Desktronic, Secretlab",Demande forte ; Search utile ; Shopping compétitif ; CPC élevé,Sourcing moteur/plateau à valider ; risque SAV moteur ; fournisseurs EU préférables,CPC haut ; concurrents spécialisés solides ; SAV moteur ; livraison lourde,Trouver angle compact différencié + landed cost permettant CAC Google,MAYBE+,"120,91€","120,91€",Devoko / vendeur non affiche,https://fr.aliexpress.com/item/1005011739520432.html,92 ventes totales fiche produit,4.9,Non visible,Livraison : 28 juin - 10 juillet,Oui,OK - expedie France; vendeur non affiche dans la fiche
Armoire miroir LED salle de bain,Semrush Kloow France + Google Trends + benchmark SERP/concurrents,FR ; volume 2.9K ; CPC 0.21 EUR ; KD 24 ; intent info/transactionnel ; variations 21.9K ; Ads 1,Non confirmé livré ; Alibaba/Made-in-China observé env. 29-128 USD hors livraison,199-349 EUR TTC,35-50% selon landed cost/casse,8,6,7.5,76,Both,Sirhona ; Hudson Reed potentiel salle de bain ; boutiques spécialisées salle de bain,Leroy Merlin ; ManoMano ; Cdiscount comme repères prix,"Salle de bain nette, lumineuse et rangée","Pour les foyers qui veulent moderniser une petite salle de bain, vendre une armoire miroir LED anti-buée comme upgrade rangement + lumière, contrairement aux fiches marketplace techniques et peu rassurantes.",Manque de rangement et miroir embué/mal éclairé,"Salle de bain premium, routine plus propre, rénovation légère",Guide installation ; choix dimensions ; réassurance IP/électrique ; vidéo lumière ; garantie LED,"Sélection + pédagogie + conformité, pas simple miroir LED générique",FR ; 5 ans ; indice moyen 10 ; 52 sem. récentes 10.1 vs 10.1 (stable) ; faible mais régulier ; requêtes associées miroir rond/salle de bain,Shopping visuel ; Search sur dimensions/installation ; demande moins large que miroirs LED simples,"Prix fournisseurs non livrés ; besoin conformité, packaging miroir, SAV LED",Casse miroir ; conformité électrique/IP ; SAV LED ; retours volumineux,"Valider fournisseur avec certification, emballage anti-casse et landed cost viable",MAYBE+,"85,88€","85,88€",Comanlai Brand Outlet Store,https://fr.aliexpress.com/item/1005010435463271.html,20,4.8,91.1% avis positifs,Livraison : 29 juin - 04 juillet,Oui,OK - commandes faibles mais note et expedition Allemagne acceptables
Paroi douche italienne 8mm,Semrush Kloow France + Google Trends + benchmark SERP/concurrents,FR ; volume 1.3K ; CPC 0.47 EUR ; KD 15 ; intent commercial ; variations 5.2K,"Non confirmé livré ; Alibaba observé env. 35-110 USD hors livraison, selon verre/MOQ",249-449 EUR TTC,25-45% selon transport/casse,7,6,6.5,68,Shopping,Hudson Reed ; Sirhona ; spécialistes salle de bain,Leroy Merlin ; ManoMano ; Brico Dépôt ; Cdiscount,Upgrade salle de bain hôtel sans refaire toute la pièce,"Pour les rénovateurs maison, vendre une paroi douche 8mm comme upgrade design et rassurant, contrairement aux fiches techniques marketplace froides.",Besoin de fermer une douche italienne proprement et moderniser la salle de bain,"Rénovation, salle de bain premium, effet hôtel",Guide mesures ; configurateur largeur/retour ; livraison spécialisée ; conformité verre,"Différence par sélection, pédagogie mesures et réassurance casse/livraison","FR ; 5 ans ; indice moyen 11 ; 52 sem. récentes 8.8 vs 11.3 (-22%) ; faible/en baisse ; requêtes associées : paroi douche coulissante, Brico Dépôt",Très visuel Shopping ; Search nécessaire pour dimensions ; volume modéré,Alibaba/Made-in-China ; verre 8/10mm ; MOQ souvent 5-10 ; prix livré à confirmer,Casse verre ; transport ; retours ; responsabilité produit ; faible Trends,"Valider transport France, assurance casse, conformité verre et marge après livraison",MAYBE+,Non trouve,Non trouve,Non,,Non trouve,Non trouve,Non trouve,Non trouve,Non,NO-GO sourcing AliExpress - aucun fournisseur pertinent de paroi douche 8mm; resultats accessoires/pommeaux/joints
Colonne douche thermostatique,Semrush Kloow France + SERP,FR ; volume 3.6K ; CPC 0.25 EUR ; KD 24 ; intent commercial ; variations 14.8K ; Ads 1,Non confirmé livré ; sourcing à valider,149-249 EUR TTC,35-50% selon landed cost,7,6,6.5,67,Both,Hudson Reed ; Sirhona ; spécialistes salle de bain,Grohe ; Hansgrohe ; Leroy Merlin ; ManoMano,Douche confort sans refaire toute la salle de bain,"Pour les foyers qui rénovent léger, vendre une colonne thermostatique design comme amélioration confort accessible, contrairement aux offres plomberie très marque/prix.","Douche peu confortable, température instable, salle de bain datée","Confort quotidien, rénovation simple, salle de bain moderne",Guide compatibilité ; vidéo installation ; bundle flexible/pommeau ; garantie,"Angle rénovation simple + pédagogie compatibilité, pas clone de marque premium",Trends non extrait dans comparaison finale ; à vérifier avant GO,Requête commerciale ; concurrence marques fortes ; Shopping possible,Prix livré/fournisseur non validé,Marques établies ; plomberie ; compatibilité ; SAV ; retours,"Trouver fournisseur fiable, certificats et angle non-marque crédible",MAYBE+,"69,99€","69,99€",Boutique officielle rozin,https://fr.aliexpress.com/item/1005004523245232.html,370,4.5,93.1% avis positifs,Livraison : 29 juin - 04 juillet,Non,OK mais hors Europe - expedie Federation de Russie; delai affiche rapide
Escalier / rampe chien design,Semrush Kloow France + SERP/fournisseurs,FR ; volume 3.6K ; CPC 0.20 EUR ; KD 24 ; intent commercial ; variations 10.8K,Non confirmé livré ; Alibaba/Made-in-China observé env. 5-32 USD hors livraison,59-129 EUR TTC,35-55% si panier augmenté,6,7,6,66,Both,Boutiques pet spécialisées à approfondir,Amazon ; Cdiscount ; animaleries comme repères,Aider son chien senior à monter sans objet moche dans le salon,"Pour les propriétaires de chiens petits/seniors, vendre une rampe/escalier design comme solution confort intégrée à l'intérieur, contrairement aux accessoires pet basiques.",Accès canapé/lit difficile pour chien petit ou senior,"Bien-être animal, intérieur propre/design, relation maître-animal",Guide taille/poids ; housse lavable ; choix couleur déco ; bundle protection canapé,"Persona et design intérieur, pas accessoire pet générique",Trends non extrait dans comparaison finale ; à vérifier avant GO,Search utile ; Shopping possible ; panier limite pour Google Ads,Alibaba dog steps 5-32 USD hors livraison ; MOQ variable,Panier bas ; CAC limité ; différenciation fragile ; volumes fragmentés,Monter AOV avec version premium ou bundle ; vérifier demande Trends,MAYBE+,"24,79€","24,79€",WAITO-pets Store,https://fr.aliexpress.com/item/1005010106921963.html,244,4.7,94.8% avis positifs,Livraison : 07 - 14 juillet,Non visible,OK - origine non visible; livraison gratuite observee en recherche
Miroir LED salle de bain simple,Semrush Kloow France + SERP,FR ; volume 5.4K ; CPC 0.36 EUR ; KD 20 ; intent info/transactionnel ; variations 27.1K,Non confirmé livré ; Alibaba observé env. 20-60 USD hors livraison,169-299 EUR TTC,30-45% selon casse/livraison,8,5,6,65,Shopping,Sirhona ; Ledkia ; boutiques éclairage/salle de bain,Leroy Merlin ; ManoMano ; Amazon,Miroir lumineux premium pour salle de bain moderne,"Pour ceux qui veulent moderniser la salle de bain, vendre un miroir LED comme upgrade lumière/design, contrairement aux fiches produit génériques.",Mauvais éclairage et salle de bain vieillissante,"Salle de bain moderne, lumière maquillage/rasage",Guide taille ; anti-buée ; température couleur ; pack fixation,Risque élevé de copie ; différence seulement si offre très sélectionnée,Trends spécifique non extrait ; cluster proche armoire miroir faible à modéré,Shopping très adapté ; concurrence visible ; produit copiable,Prix non livré ; packaging miroir à valider,Fragile ; très copiable ; SAV LED ; marge grignotée par livraison,Trouver variante réellement supérieure ou bundle installation,MAYBE bas,"74,99€","74,99€",Happy Grocery Store,https://fr.aliexpress.com/item/1005010501779446.html,154,4.9,95.4% avis positifs,Livraison : 28 juin - 03 juillet,Oui,OK - livraison gratuite; expedie Allemagne
Rideau thermique isolant premium,Semrush Kloow France + SERP,FR ; volume 1.9K ; CPC 0.27 EUR ; KD 30 ; intent commercial ; variations 35.8K,Non confirmé livré,39-79 EUR TTC,40-60% mais panier faible,5,6,4,62,Search,Spécialistes rideaux à approfondir,Amazon ; Leroy Merlin ; stores déco,Réduire froid/bruit sans travaux,"Pour locataires ou foyers mal isolés, vendre un rideau thermique premium comme confort immédiat, contrairement aux rideaux basiques prix.","Froid courant d'air, inconfort, bruit","Confort hiver, économie d'énergie, déco textile",Guide mesure ; pack tringle ; preuves matières ; bundles multi-fenêtres,Peut devenir système pièce complète mais produit seul trop faible,Trends non extrait dans comparaison finale ; à vérifier ; forte saisonnalité probable,Search plus utile que Shopping ; besoin pédagogie ; panier faible,Sourcing non validé,Saisonnier ; panier faible ; concurrence enseignes ; CAC Google difficile,Seulement si AOV augmenté par pack multi-rideaux,NO-GO,"10,39€","10,39€",Zhangmeng Store,https://fr.aliexpress.com/item/1005008399007973.html,800+,4.7,96.5% avis positifs,Livraison : 07 - 14 juillet,Non visible,OK - livraison gratuite; prix varie selon taille
Fontaine à eau chat,Semrush Kloow France + SERP,FR ; volume 18.1K ; CPC 0.20 EUR ; KD 21 ; intent commercial ; variations 39.4K,Non confirmé livré ; sourcing probable 8-25 USD hors livraison,29-69 EUR TTC,25-45% mais SAV électronique,8,5,3,58,Shopping,Boutiques pet nombreuses mais marché saturé,Amazon ; Cdiscount ; animaleries comme repères,Hydratation chat plus simple,"Pour propriétaires de chat, vendre une fontaine comme solution hydratation, mais marché trop rincé et différenciation faible.",Inciter le chat à boire plus,"Bien-être animal, routine maison","Filtres, packs, design silencieux",Trop proche des produits dropshipping mainstream ; pas assez défendable,Trends non extrait dans comparaison finale ; à vérifier si reprise,Shopping fort mais hyper concurrentiel et commoditisé,Sourcing facile mais qualité pompe/SAV à risque,Mainstream ; électronique ; SAV ; faible panier ; différenciation fragile, couper sauf innovation produit très forte,NO-GO,"21,19€","21,19€",Vendeur AliExpress non affiche,https://fr.aliexpress.com/item/1005006863693857.html,5000+ ventes totales,4.9,Non visible,Livraison : 07 - 14 juillet,Non visible,OK - fiche 3L; livraison gratuite observee; vendeur non affiche
