cell,product_id,n,type_visuel,image_reference,prompt
F14,1005012304431034,1,Packshot studio,images/1005012304431034/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F14,1005012304431034,2,Mise en situation,images/1005012304431034/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur installé sous un évier de cuisine, robinet dédié posé sur le plan de travail, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F14,1005012304431034,3,Détail macro,images/1005012304431034/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F14,1005012304431034,4,Lifestyle contexte,images/1005012304431034/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur installé sous un évier de cuisine, robinet dédié posé sur le plan de travail, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F14,1005012304431034,5,Infographie bénéfice,images/1005012304431034/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F15,1005005652496986,1,Packshot studio,images/1005005652496986/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F15,1005005652496986,2,Mise en situation,images/1005005652496986/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F15,1005005652496986,3,Détail macro,images/1005005652496986/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F15,1005005652496986,4,Lifestyle contexte,images/1005005652496986/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F15,1005005652496986,5,Infographie bénéfice,images/1005005652496986/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F16,1005008768999224,1,Packshot studio,images/1005008768999224/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F16,1005008768999224,2,Mise en situation,images/1005008768999224/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur de cuisine blanc SHUANGLI sous évier, robinet chromé dédié, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F16,1005008768999224,3,Détail macro,images/1005008768999224/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F16,1005008768999224,4,Lifestyle contexte,images/1005008768999224/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur de cuisine blanc SHUANGLI sous évier, robinet chromé dédié, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F16,1005008768999224,5,Infographie bénéfice,images/1005008768999224/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F17,1005009661849903,1,Packshot studio,images/1005009661849903/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F17,1005009661849903,2,Mise en situation,images/1005009661849903/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : système d'osmose inverse haut débit sous évier, cartouches filtrantes alignées, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F17,1005009661849903,3,Détail macro,images/1005009661849903/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F17,1005009661849903,4,Lifestyle contexte,images/1005009661849903/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : système d'osmose inverse haut débit sous évier, cartouches filtrantes alignées, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F17,1005009661849903,5,Infographie bénéfice,images/1005009661849903/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F18,1005006982242864,1,Packshot studio,images/1005006982242864/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006982242864/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F18,1005006982242864,2,Mise en situation,images/1005006982242864/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006982242864/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : membrane cylindrique blanche d'osmose inverse posée à côté de son boîtier ouvert, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F18,1005006982242864,3,Détail macro,images/1005006982242864/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006982242864/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F18,1005006982242864,4,Lifestyle contexte,images/1005006982242864/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006982242864/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : membrane cylindrique blanche d'osmose inverse posée à côté de son boîtier ouvert, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F18,1005006982242864,5,Infographie bénéfice,images/1005006982242864/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006982242864/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
