produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par (hard filter)	flags	raison de rejet	angle/notes
Vitrine cabinet de curiosites laiton et verre	pinterest_trends	home_furniture	780	dropshippers_mixed	true	true	true	yes	1	66	review		margin_ratio_missing	margin_ratio_missing	Mettre en scene collections et objets personnels. Pinterest curating/not copying + Neo Deco; prix marche vitrines laiton/verre 600-1200 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Bar cart laiton et verre style antique	pinterest_trends	home_furniture	430	dropshippers_weak_sites	true	true	true	partial	1	63	review		margin_ratio_missing	margin_ratio_missing	Recevoir avec un coin cocktail mobile et decoratif. Pinterest Neo Deco: antique bar cart +100%, brass aesthetic +35%. Prix marche bars roulants 300-700 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Panneaux muraux opalescents holographiques Extra Celestial	pinterest_trends	home_decoration	260	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Accent mural futuriste pour chambre, studio ou vitrine. Pinterest Extra Celestial: alien core +80%, opalescent +115%. Prix marche panneaux/decors muraux 200-500 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Paravent decoratif a arches et rayures circuscore	pinterest_trends	home_decoration	360	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Ajouter un decor audacieux sans repeindre toute la piece. Pinterest Predicts 2026 FunHaus: circus interior +130%, striped ceiling +40%. Prix marche paravents design 250-600 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Tapisserie murale Adire Afrohemian grand format	pinterest_trends	home_decoration	280	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Mur de caractere textile, culturel et chaleureux. Pinterest Afrohemian Decor: afrobohemian home decor +220%, adire fabric +130%, ethiopian art +50%. Prix marche tentures grand format 200-450 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Tableau mural fine art grand format personnalisable	flippa	wall_art	350	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	margin_ratio_missing	Piece deco emotionnelle grand format avec personnalisation. Flippa signale home decor/fine art eCommerce 50k$ revenue et 64% profit margin; prix marche grands formats 250-600 EUR. Source: https://flippa.com/buy/categories/home-and-garden
Cloison acoustique mobile design pour bureau maison	flippa	home_acoustics	520	few_or_none	true	true	true	yes	1	60	review		margin_ratio_missing	margin_ratio_missing	Separer et calmer un espace teletravail sans travaux. Derive du signal Flippa home/garden et demande home office; prix marche cloisons acoustiques 400-900 EUR. Source: https://flippa.com/buy/categories/home-and-garden
Niche chien isolee XXL design quatre saisons	flippa	pet	480	dropshippers_mixed	true	true	true	partial	1	60	review		margin_ratio_missing	margin_ratio_missing	Offrir un vrai abri isolant aux grands chiens dehors. Flippa categorie Pets + Home/Garden; prix marche niches isolees XXL 350-800 EUR. Source: https://flippa.com/buy/categories/home-and-garden/pets
Banc exterieur beton bois design pour terrasse	europages	outdoor_furniture	720	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Mobilier exterieur durable style parc/hotel. Signal Europages mobilier urbain Crouzoulon; prix marche banc design 600-1200 EUR. Source: https://www.europages.fr/entreprises/france/fabricant%20producteur/mobilier-urbain.html
Escalier meunier gain de place bois et metal	cdiscount	space_saving_home	690	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Acceder a mezzanine/combles dans une petite surface. Signal Cdiscount bricolage/menuiserie; prix marche escaliers gain de place 550-1200 EUR. Source: https://www.cdiscount.com/bricolage/menuiserie/
Groupe de recuperation fluides frigorigenes HVAC 1 HP	vevor	hvac_tools	650	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Outillage CVC portable pour artisans clim/froid. VEVOR liste groupe recuperation 419,99 EUR; marche pro 500-1000 EUR. Source: https://www.vevor.fr/s/groupe-electrogene
Jardiniere acier corten XXL modulable	europages	garden_planter	650	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Terrasse paysagee premium sans travaux lourds. Signal Europages acier corten; prix marche jardiniere XXL 450-1000 EUR. Source: https://www.europages.fr/entreprises/acier-corten.html
Composteur electrique de cuisine 3 a 5 L anti-odeur	amazon_movers	kitchen_waste_equipment	430	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Reduire les biodechets en appartement sans odeurs. Signal Amazon Cuisine/Maison; prix marche composteurs electriques 350-650 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/kitchen
Fauteuil accent rattan Afrohemian	pinterest_trends	home_furniture	480	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Salon boheme africain avec piece assise naturelle. Pinterest Afrohemian Decor: rattan accent chair +50%, bamboo beaded curtains +60%. Prix marche fauteuils accent 350-700 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Rideaux velours theatre et kit draperie plafond	pinterest_trends	event_home_decor	450	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Transformer salon ou evenement en decor opera. Pinterest Opera Aesthetic: wedding ceiling draping +40%, masquerade decor +40%. Prix marche kits velours/draping 300-800 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Panneaux acoustiques tasseaux bois pour mur complet	amazon_movers	home_acoustics	320	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	margin_ratio_missing	Rendre un salon ou bureau plus calme et plus premium. Signal Amazon deco/renovation + tendance interieur; prix marche lots muraux 250-600 EUR. Sources: https://www.amazon.fr/gp/movers-and-shakers/hi | https://business.pinterest.com/en-gb/pinterest-predicts/
Fontaine de jardin murale pierre reconstituee	flippa	garden_water_feature	390	dropshippers_mixed	true	true	true	partial	1	55	review		margin_ratio_missing	margin_ratio_missing	Créer une terrasse mediterraneenne sans gros chantier. Flippa home/garden + tendance jardins decoratifs; prix marche fontaines murales 300-700 EUR. Sources: https://flippa.com/buy/categories/home-and-garden | https://www.countryliving.com/gardening/garden-ideas/a70160525/garden-trends-2026/
Garde-corps aluminium ou inox en kit pour terrasse	europages	home_renovation	820	semi_brands	true	true	true	partial	2	55	review		margin_ratio_missing	margin_ratio_missing	Securiser une terrasse sans passer par un devis artisan opaque. Signal Europages + Cdiscount bricolage; prix marche kits 600-1200 EUR selon metres. Sources: https://www.europages.fr/entreprises/france/fabricant%20producteur/mobilier-urbain.html | https://www.cdiscount.com/bricolage
Plaque vibrante compacteur thermique 15 kN	vevor	construction_tools	650	few_or_none	true	true	true	partial	1	55	review		margin_ratio_missing	margin_ratio_missing	Realiser terrasse, allee et pavage sans louer a chaque week-end. VEVOR liste 453,90 EUR; marche FR compacteurs 600-1000 EUR. Source: https://www.vevor.fr/s/plaque-vibrante-compacteur
Abri poubelle design metal double ou triple	europages	outdoor_storage	580	few_or_none	true	true	true	yes	1	54	reject		margin_ratio_missing	margin_ratio_missing	Cacher les bacs et rendre l'entree maison plus propre. Signal Europages METASTAL/FranceAbris; prix marche 450-900 EUR. Sources: https://www.europages.fr/METASTAL/00000005411559-747166001.html | https://www.europages.fr/entreprises/france/fabricant%20producteur/boite-metallique.html
Auvent marquise aluminium polycarbonate 6 m	cdiscount	home_exterior	450	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Proteger entree ou terrasse de la pluie sans gros travaux. Signal Cdiscount abris/annexes et stores; prix marche grandes marquises 350-700 EUR. Source: https://www.cdiscount.com/jardin/abris-annexes-rangement/
Camera d'inspection canalisation 30 m avec ecran	vevor	plumbing_tools	420	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Diagnostiquer une canalisation avant intervention couteuse. Signal VEVOR plomberie/camera egout; prix marche 300-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor
Coffre-fort biometrique 60 L anti-effraction	cdiscount	home_safety	534	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Proteger papiers et objets de valeur sans coffre bancaire. Cdiscount NIKCORP 58x40x33 cm a 533,99 EUR; variantes biometrie 189-534 EUR. Sources: https://www.cdiscount.com/bricolage/securite-domotique/coffre-fort-biomtrique/f-1662007-aacbi26593.html | https://www.cdiscount.com/bricolage/r-coffre%2Bfort%2Bempreinte%2Bdigitale.html
Coupe-carreaux electrique sur table avec eau	vevor	tile_tools	520	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Couper proprement carrelage grand format sans louer une scie. Signal VEVOR revetements de sol/coupe-carreaux; prix marche 350-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor
Presse a chaud textile 40 x 50 cm auto-open	vevor	craft_business_equipment	480	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Lancer micro-atelier textile sans machine industrielle. Signal VEVOR machines creation; prix marche presses 40x50 350-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor
Recuperateur eau de pluie mural design 800 L	europages	water_saving_garden	520	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Arroser le jardin en ete sans cuve moche. Signal fournisseurs jardin/amenagement Europages; prix marche cuves design 400-800 EUR. Source: https://www.europages.fr/entreprises/jardinage.html
Scelleuse sous vide a chambre 320 mm	vevor	commercial_kitchen_equipment	450	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Conservation pro pour traiteurs, chasseurs et familles batch cooking. VEVOR a 242,90-320 EUR selon modele; marche FR chambre 350-700 EUR. Sources: https://www.vevor.fr/machines-d-emballage-sous-vide-c_10467/vevor-machine-a-emballer-sous-vide-a-chambre-260-w-machine-d-emballage-sous-vide-taille-compacte-260-mm-dans-la-cuisine-domestique-et-pour-un-usage-commercial-pour-aliments-humides-viandes-marinades-p_010395199420 | https://www.vevor.fr/machines-d-emballage-sous-vide-c_10467/vevor-machine-a-emballer-sous-vide-a-chambre-320-w-machine-d-emballage-sous-vide-taille-compacte-320-mm-dans-la-cuisine-domestique-et-pour-un-usage-commercial-pour-aliments-humides-viandes-marinades-p_010249426550
