produit	source	prix fournisseur livre	fournisseur AliExpress	URL fournisseur	commandes AliExpress	note produit AliExpress	notation vendeur AliExpress	delai livraison AliExpress	expedie depuis Europe	prix de vente probable	marge estimee	Shopping Score	Search Score	Business Score	score total	canal recommande	concurrents DTC comparables	angle marketing	these de differenciation	risques	condition de GO	verdict
Brasero plancha en acier corten (Ø 85-100 cm)	flippa									800					61	à valider (Semrush étape 5)			VU SUR 5 PLATEFORMES (flippa, europages, amazon_movers, pinterest_trends, bigbuy) — convivialité feu/plancha, spécialistes FR 500-2000 EUR, 			review
Cuisine d'extérieur modulaire inox (modules plancha/évier/rangement)	flippa									1490					44	à valider (Semrush étape 5)			VU SUR 4 PLATEFORMES (flippa, cdiscount, amazon_movers, pinterest_trends) — tendance été 2026, semi-marques FR (ENO, Le Marquier, Oviala), p			reject
Volière XXL pour perroquets (2x1x2 m et plus)	flippa									890					64	à valider (Semrush étape 5)			VU SUR 3 PLATEFORMES (flippa, europages, cdiscount) — achat passion propriétaires perroquets, boutique Flippa 87k$/10 mois, SERP FR mince (C			review
Sauna infrarouge 2-3 places (cabine bois)	pinterest_trends									1790					38	à valider (Semrush étape 5)			VU SUR 3 PLATEFORMES (pinterest_trends, europages, cdiscount) — méga-tendance self-preservation 2026, 61 fabricants EU sur Europages, revend			reject
Serre de jardin en verre trempé et aluminium (5-10 m²)	pinterest_trends									990					41	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (pinterest_trends, europages) — garden inspiration +940%, fret fragile tient Temu/Amazon à l'écart du verre trempé, pic			reject
Fauteuil releveur électrique 2 moteurs	bigbuy									725					55	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (bigbuy, cdiscount) — marché senior/maintien à domicile, stock EU Bigbuy confirmé (Cecotec), page 1 = spécialistes amél			review
Billard convertible table à manger (7ft)	bigbuy									1450					48	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (bigbuy, cdiscount) — meuble plaisir 2-en-1, fabricants FR premium (René Pierre, Defaistre), place sur l'entrée/milieu 			reject
Piscine hors-sol rigide en kit (bois/acier ~4-5 m, filtration incluse)	amazon_movers									1700					28	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (amazon_movers, bigbuy) — demande canicule, alternative valorisante aux tubulaires Intex, piscinistes en ligne spéciali			reject
Luminaire design premium (lustre LED / lampadaire sculptural)	flippa									320					50	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (flippa, dotmarket) — 3 business en vente documentés (AOV >300$, 77% de marge commerciale), page 1 FR = dropshippers, s			reject
Aire de jeux / cabane enfant en bois XXL (portique + toboggan)	amazon_movers									675					58	à valider (Semrush étape 5)			VU SUR 2 PLATEFORMES (amazon_movers, europages) — émotion parentale/grands-parents, ≥400 EUR (famille jouets : vérifier marge ≥4x au sourcin			review
Barbecue kamado en céramique (Ø 18-21 pouces)	europages									900					42	à valider (Semrush étape 5)			Communauté fumage/cuisson lente, panier 600-1000 EUR + accessoires récurrents ; vérifier fournisseur réellement EU (OEM chinois présents sur			reject
Lit escamotable vertical 140x190 avec sommier relevable	europages									1500					35	à valider (Semrush étape 5)			Gain de place studios/T2 (« je récupère une pièce »), fabricants EU dédiés, spécialistes FR à 1500-3800 EUR.			reject
Catio — enclos extérieur en bois pour chat (XL)	europages									450					37	à valider (Semrush étape 5)			Tendance « sécuriser son chat dehors », offre FR mince (Zoomalia, artisan Felikit), fabricants EU d'enclos sur Europages.			reject
Bain nordique chauffage bois en kit (2-4 places)	cdiscount									1700					24	à valider (Semrush étape 5)			Désir « spa scandinave au jardin », SERP FR = petits spécialistes type Shopify sans mastodonte, segment kits 1300-1700 EUR.			reject
Carport aluminium en kit (toit polycarbonate, 1 voiture)	cdiscount									1900					22	à valider (Semrush étape 5)			Alternative au garage sans gros œuvre ; page 1 = fabricants à devis, angle « kit livré, prix direct, sans devis ».			reject
