produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par hard filter	flags	raison de rejet	angle/notes	sources URLs	recommandation	fichier source	doublon retire
Abri de piscine bas tunnel couverture alu	cdiscount	garden	720	dropshippers_weak_sites	true	true	true	yes	1	69	review		margin_ratio_missing	score 69 - bon potentiel si prix ali confirme	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à valider Hakim	ideas.xlsx	
Fauteuil zero gravite electrique releveur	flippa	wellness	820	dropshippers_mixed	true	true	true	partial	2	69	review		margin_ratio_missing	score 69 - bon potentiel si prix ali confirme	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		à valider Hakim	ideas.xlsx	
Mobilier lounge exterieur resine tressee 5 pieces	flippa	garden	780	dropshippers_mixed	true	true	true	partial	2	69	review		margin_ratio_missing	score 69 - bon potentiel si prix ali confirme	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à valider Hakim	ideas.xlsx	
Sauna infrarouge 2 places en pin massif	bigbuy	wellness	890	dropshippers_weak_sites	true	true	true	partial	2	69	review		margin_ratio_missing	score 69 - bon potentiel si prix ali confirme	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		à valider Hakim	ideas.xlsx	
Fauteuil de massage Shiatsu 4D electrique	amazon_movers	wellness	699	dropshippers_mixed	true	true	true	partial	2	66	review		margin_ratio_missing	score 66 - bon potentiel si prix ali confirme	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		à valider Hakim	ideas.xlsx	
Vitrine cabinet de curiosites laiton et verre	pinterest_trends	home_furniture	780	dropshippers_mixed	true	true	true	yes	1	66	review		margin_ratio_missing	margin_ratio_missing	Mettre en scene collections et objets personnels	Pinterest curating/not copying + Neo Deco; prix marche vitrines laiton/verre 600-1200 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Balancelle 3 places avec store et coussins epais	dotmarket	garden	449	dropshippers_mixed	true	true	true	partial	2	64	review		margin_ratio_missing	score 64 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Fauteuil suspendu cocon oeuf en rotin naturel	bigbuy	garden	419	dropshippers_weak_sites	true	true	true	partial	2	64	review		margin_ratio_missing	score 64 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Bar cart laiton et verre style antique	pinterest_trends	home_furniture	430	dropshippers_weak_sites	true	true	true	partial	1	63	review		margin_ratio_missing	margin_ratio_missing	Recevoir avec un coin cocktail mobile et decoratif	Pinterest Neo Deco: antique bar cart +100%, brass aesthetic +35%. Prix marche bars roulants 300-700 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Portique gym exterieur adulte acier galvanise	europages	sport	699	dropshippers_mixed	true	true	true	partial	2	63	review		margin_ratio_missing	score 63 - potentiel moyen a confirmer	Sport maison/outdoor - Search fort (intention achat) + Shopping		à creuser après validation	ideas.xlsx	
Swing suspendu terrasse en macrame naturel XXL	pinterest_trends	garden	549	dropshippers_weak_sites	true	true	true	partial	1	63	review		margin_ratio_missing	score 63 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Lit baldaquin adulte metal forge 160x200	pinterest_trends	home	620	dropshippers_mixed	true	true	true	partial	1	62	review		margin_ratio_missing	score 62 - potentiel moyen a confirmer	Mobilier premium - decos - Shopping fort + retargeting		à creuser après validation	ideas.xlsx	
Panneaux muraux opalescents holographiques Extra Celestial	pinterest_trends	home_decoration	260	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Accent mural futuriste pour chambre, studio ou vitrine	Pinterest Extra Celestial: alien core +80%, opalescent +115%. Prix marche panneaux/decors muraux 200-500 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Paravent decoratif a arches et rayures circuscore	pinterest_trends	home_decoration	360	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Ajouter un decor audacieux sans repeindre toute la piece	Pinterest Predicts 2026 FunHaus: circus interior +130%, striped ceiling +40%. Prix marche paravents design 250-600 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Tapisserie murale Adire Afrohemian grand format	pinterest_trends	home_decoration	280	dropshippers_weak_sites	true	true	true	yes	1	62	review		margin_ratio_missing	margin_ratio_missing	Mur de caractere textile, culturel et chaleureux	Pinterest Afrohemian Decor: afrobohemian home decor +220%, adire fabric +130%, ethiopian art +50%. Prix marche tentures grand format 200-450 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Barbecue Kamado ceramique 47cm avec accessoires	amazon_movers	garden	579	dropshippers_mixed	true	true	true	partial	2	61	review		margin_ratio_missing	score 61 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Hamac de luxe avec support bois teck 2 places	dotmarket	garden	369	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	score 61 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
