cell,collection,product_id,titre,prix_EUR,prix_avant,variante,note,avis,ventes,expedie_depuis,livraison,images,completude/100,confiance/100,risque,recommandation,url
F14,2. Osmoseurs (osmose inverse),1005012304431034,"Système de purification d'eau RO 600G, filtre à osmose inverse pour cuisine, TDS réduits, rapport de vidange faible 2:1, filtration à haut débit",160.99,186.85,"[{'name': 'Couleur: 600G', 'price': 160.99}]",4.9,5,35 (ventes totales) / 31 (ce vendeur) — FAIBLE,France ✅,16-21 juillet,6,55,70,MOYEN,PRODUIT PHARE (compléter par fiche technique fournisseur),https://fr.aliexpress.com/item/1005012304431034.html
F6,1. Adoucisseurs de douche (filtres douche),1005007377321264,15-20 étapes de haute maison pour éliminer le fluorure de chlore et les métaux lourds filtrés adoucissent l'eau dure pour purificateur de nettoyage de pomme de douche,9.79,8.1,Couleur: Full Carbon Filter,4.5,859,,non affiché sur la fiche, juillet 13 - 25 ,5,73,61,FAIBLE,VARIANTE À TESTER,https://fr.aliexpress.com/item/1005007377321264.html
F7,1. Adoucisseurs de douche (filtres douche),1005007476627621,"Filtre pour pommeau de douche parfumé, adoucisseur d'eau, améliore l'épilation de la peau, supporter ficateur de douche, accessoires pour la maison",7.59,6.19,Couleur: Honey Peach,4.9,637,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,FAIBLE,VARIANTE À TESTER,https://fr.aliexpress.com/item/1005007476627621.html
F8,1. Adoucisseurs de douche (filtres douche),1005012014156043,"Filtre de douche parfumé avec adoucisseur d'eau, purificateur de douche anti-calcaire pour salle de bain, cartouche de remplacement pour pommeau de douche",15.89,13.39,Couleur: Blueberry,4.9,511,,non affiché sur la fiche, juillet 17 - 26 ,5,73,69,FAIBLE,VARIANTE À TESTER,https://fr.aliexpress.com/item/1005012014156043.html
F9,1. Adoucisseurs de douche (filtres douche),1005008848496706,"Filtre de pomme de douche à haut rendement, 15/20 étapes, pour cartouches remplaçables d'eau dure, adoucisseur d'eau pour éliminer le chlore et le fluorure",7.99,9.79,Couleur: Full Carbon Filter,4.7,101,,non affiché sur la fiche, juillet 17 - 22 ,5,73,62,FAIBLE,VARIANTE À TESTER,https://fr.aliexpress.com/item/1005008848496706.html
F10,1. Adoucisseurs de douche (filtres douche),1005008295498961,"ALTHY Filtre de pomme de douche à main à la vitamine C, eau adoucissante SPA haute pression, blanchit et hydrater la peau sèche et démangeaisons, réduit la perte de cheveux",32.79,4.3,Couleur: VC Shower suit,4.9,65,,Expédié depuis:China Mainland,juillet 18 - 26 ,5,85,69,FAIBLE,UPSELL (gamme premium),https://fr.aliexpress.com/item/1005008295498961.html
F15,2. Osmoseurs (osmose inverse),1005005652496986,"Système RO sans réservoir OSWNKW 600GPD à haut débit, réduit les TDS, rapport de vidange 1:2, mineralisé, lumière UV, purificateur d'eau compact sous l'évier",274.99,275.07,Couleur: 600 GPD,4.8,88,,Expédié depuis:Pologne Tension:110 V-240 V,juillet 16 - 21 ,5,60,76,MOYEN,VARIANTE À TESTER (osmoseur alternatif),https://fr.aliexpress.com/item/1005005652496986.html
F16,2. Osmoseurs (osmose inverse),1005008768999224,"Système de purification d'eau de cuisine par osmose inverse, débit de 600G/800G, TDS réduits, rapport de drainage 2:1",176.99,16.37,Couleur: 600G,4.7,169,,Expédié depuis:Pologne,juillet 16 - 19 (86.4% ≤ 8 jours)  ,5,60,77,MOYEN,VARIANTE À TESTER (osmoseur alternatif),https://fr.aliexpress.com/item/1005008768999224.html
F17,2. Osmoseurs (osmose inverse),1005009661849903,"Système de filtration d'eau par osmose inverse OSWNKW - débit élevé 600GPD, sans réservoir d'eau, TDS réduit, compact, rapport de drainage 1:2",292.69,292.9,Couleur: 600 GPD,4.8,53,,Expédié depuis:Pologne Tension:110 V-240 V,juillet 16 - 21 ,5,60,73,MOYEN,VARIANTE À TESTER (osmoseur alternatif),https://fr.aliexpress.com/item/1005009661849903.html
F18,2. Osmoseurs (osmose inverse),1005006982242864,Maison cuisine osmose inverse RO Membrane remplacement système d'eau filtre purificateur eau potable traitement 50/75/100/125GPD,12.69,11.19,Couleur: 50GPD,4.9,247,,non affiché sur la fiche, juillet 16 - 19 ,5,60,69,FAIBLE,CONSOMMABLE / UPSELL (filtre de rechange),https://fr.aliexpress.com/item/1005006982242864.html
