produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par hard filter	flags	angle/notes	recommandation Hermes	raison courte
Sauna infrarouge 2 places en pin massif	bigbuy	wellness	890	dropshippers_weak_sites	true	true	true	partial	2	69	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	à valider Hakim	score 69 - bon potentiel si prix ali confirme
Abri de piscine bas tunnel couverture alu	cdiscount	garden	720	dropshippers_weak_sites	true	true	true	yes	1	69	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à valider Hakim	score 69 - bon potentiel si prix ali confirme
Mobilier lounge exterieur resine tressee 5 pieces	flippa	garden	780	dropshippers_mixed	true	true	true	partial	2	69	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à valider Hakim	score 69 - bon potentiel si prix ali confirme
Fauteuil zero gravite electrique releveur	flippa	wellness	820	dropshippers_mixed	true	true	true	partial	2	69	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	à valider Hakim	score 69 - bon potentiel si prix ali confirme
Fauteuil de massage Shiatsu 4D electrique	amazon_movers	wellness	699	dropshippers_mixed	true	true	true	partial	2	66	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	à valider Hakim	score 66 - bon potentiel si prix ali confirme
Fauteuil suspendu cocon oeuf en rotin naturel	bigbuy	garden	419	dropshippers_weak_sites	true	true	true	partial	2	64	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à valider Hakim	score 64 - bon potentiel si prix ali confirme
Balancelle 3 places avec store et coussins epais	dotmarket	garden	449	dropshippers_mixed	true	true	true	partial	2	64	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à valider Hakim	score 64 - bon potentiel si prix ali confirme
Portique gym exterieur adulte acier galvanise	europages	sport	699	dropshippers_mixed	true	true	true	partial	2	63	review		margin_ratio_missing	Sport maison/outdoor - Search fort (intention achat) + Shopping	à valider Hakim	score 63 - bon potentiel si prix ali confirme
Swing suspendu terrasse en macrame naturel XXL	pinterest_trends	garden	549	dropshippers_weak_sites	true	true	true	partial	1	63	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à valider Hakim	score 63 - bon potentiel si prix ali confirme
Lit baldaquin adulte metal forge 160x200	pinterest_trends	home	620	dropshippers_mixed	true	true	true	partial	1	62	review		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	à valider Hakim	score 62 - bon potentiel si prix ali confirme
Spa gonflable jacuzzi 4-6 places rond	amazon_movers	garden	449	dropshippers_mixed	true	true	true	partial	2	61	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à creuser après validation	score 61 - potentiel moyen a confirmer
Barbecue Kamado ceramique 47cm avec accessoires	amazon_movers	garden	579	dropshippers_mixed	true	true	true	partial	2	61	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à creuser après validation	score 61 - potentiel moyen a confirmer
Trottinette electrique adulte 50km autonomie pro	dotmarket	outdoor	720	dropshippers_mixed	true	true	true	commodity	1	61	review		margin_ratio_missing	Loisirs outdoor - Search + Shopping - saisonnier risque	rejet évident	commodity - disponible partout
Lit de massage pliable portable professionnel	dotmarket	wellness	389	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	à creuser après validation	score 61 - potentiel moyen a confirmer
Hamac de luxe avec support bois teck 2 places	dotmarket	garden	369	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à creuser après validation	score 61 - potentiel moyen a confirmer
Purificateur d'air UV-C ionisation filtre HEPA pro	dotmarket	tech-niche	479	dropshippers_mixed	true	true	true	partial	1	60	review		margin_ratio_missing	Tech niche - Search fort - risque commodity	à creuser après validation	score 60 - potentiel moyen a confirmer
Cage de musculation Smith Machine professionnelle	europages	sport	780	dropshippers_mixed	true	true	true	partial	1	59	review		margin_ratio_missing	Sport maison/outdoor - Search fort (intention achat) + Shopping	à creuser après validation	score 59 - potentiel moyen a confirmer
Baby-foot professionnel table massive bois massif	europages	other	669	dropshippers_mixed	true	true	true	partial	1	59	review		margin_ratio_missing	Divertissement/jeux - Shopping + Search	à creuser après validation	score 59 - potentiel moyen a confirmer
Sauna tonneau exterieur en bois de pin 2 places	flippa	wellness	1750	dropshippers_weak_sites	true	true	true	yes	2	59	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	à creuser après validation	score 59 prix > zone sweet spot 900
Miroir mural ovale metal dore biseaute XXL	pinterest_trends	home	299	dropshippers_weak_sites	true	true	true	partial	1	58	review		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	à creuser après validation	score 58 - potentiel moyen a confirmer
Jardiniere suреlevee bois XXL potager 2m	pinterest_trends	garden	359	dropshippers_weak_sites	true	true	true	partial	1	58	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	à creuser après validation	score 58 - potentiel moyen a confirmer
Aquarium panoramique 200L avec meuble integre	amazon_movers	home	499	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	à creuser après validation	score 57 - potentiel moyen a confirmer
Baignoire balneotherapie ilot autoportante	cdiscount	wellness	1190	dropshippers_mixed	true	false	true	yes	2	57	review		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	données insuffisantes	score 57 margin manquante + signal faible
